id;user_login;entity_name;entity_id;action_type;content;content_content_type;creation_date
1;rejoin microchip begonia;till darn hexagon;4841;DELETE;../fake-data/blob/hipster.png;image/png;2025-01-28T04:51:06
2;ah despite;shout;24523;CREATE;../fake-data/blob/hipster.png;image/png;2025-01-27T22:57:45
3;overplay gray filter;straight hope under;18153;CREATE;../fake-data/blob/hipster.png;image/png;2025-01-28T04:07:38
4;technologist;reschedule who needily;31260;CREATE;../fake-data/blob/hipster.png;image/png;2025-01-28T16:25:36
5;unexpectedly solemnly;youthfully paintwork till;7860;UPDATE;../fake-data/blob/hipster.png;image/png;2025-01-28T17:58:30
6;inside;despite what blah;20320;UPDATE;../fake-data/blob/hipster.png;image/png;2025-01-28T13:12:11
7;cruel neglect ack;snoop catalog;19990;CREATE;../fake-data/blob/hipster.png;image/png;2025-01-28T15:58:53
8;embody;gee enfold;27449;UPDATE;../fake-data/blob/hipster.png;image/png;2025-01-28T01:10:12
9;cheerfully till;nor gripper;3922;CREATE;../fake-data/blob/hipster.png;image/png;2025-01-28T17:33:21
10;cruelly aw although;comb unkempt;7830;CREATE;../fake-data/blob/hipster.png;image/png;2025-01-28T18:02:19
